Name,Link,Breed,Location
Brjtta,http://post.rescueme.org/20-02-22-00005,German Shepherd,"Los Angeles County, Downey, CA"
Wilson,http://post.rescueme.org/20-02-22-00004,Collie,"Los Angeles County, Downey, CA"
CARDO,http://post.rescueme.org/20-02-21-00473,Shiba Inu,"Los Angeles County, Van Nuys, CA"
Buffy,http://post.rescueme.org/20-02-21-00464,Maltese,CA
Beverly,http://post.rescueme.org/20-02-21-00451,Pit Bull,"Riverside County, Downey , CA"
Nana,http://post.rescueme.org/20-02-21-00420,Chihuahua,"Los Angeles County, Van Nuys, CA"
Dan,http://post.rescueme.org/20-02-21-00413,Lhasa Apso,"Los Angeles County, Van Nuys, CA"
Jellybean,http://post.rescueme.org/20-02-21-00380,Dachshund,"Los Angeles County, Woodland Hills, CA"
Rocky,http://post.rescueme.org/20-02-21-00370,Pit Bull,"Stanislaus County, Oakdale, CA"
Kobe,http://post.rescueme.org/20-02-21-00369,American Bulldog,"Los Angeles County, Woodland Hills, CA"
Puchi,http://post.rescueme.org/20-02-21-00364,Chihuahua,"Orange County, Menifee, CA"
Rosie,http://post.rescueme.org/20-02-21-00321,German Shepherd,"Sonoma County, Santa Rosa, CA"
Elizabeth,http://post.rescueme.org/20-02-21-00316,German Shepherd,"Riverside County, Downey , CA"
Gus,http://post.rescueme.org/20-02-21-00308,Pit Bull,"Humboldt County, Arcata, CA"
Duncan,http://post.rescueme.org/20-02-21-00302,Chihuahua,"Sutter County, Yuba City, CA"
Dot,http://post.rescueme.org/20-02-21-00296,Catahoula,"San Luis Obispo County, Atascadero, CA"
Layla,http://post.rescueme.org/20-02-21-00295,Lab,CA
,http://post.rescueme.org/20-02-21-00294,Chow Chow,"Los Angeles County, Long Beach, CA"
Skye,http://post.rescueme.org/20-02-21-00285,German Shepherd,"San Bernardino County, High Desert/Rancho Cucamonga, CA"
Enzo,http://post.rescueme.org/20-02-21-00282,German Shepherd,"San Bernardino County, High Desert/Rancho Cucamonga, CA"
Jake,http://post.rescueme.org/20-02-21-00274,American Bulldog,"Stanislaus County, Oakdale, CA"
Jake,http://post.rescueme.org/20-02-21-00271,American Bulldog,"Stanislaus County, Oakdale, CA"
Bryce/Raymond,http://post.rescueme.org/20-02-21-00257,German Shepherd,"Riverside County, Downey , CA"
Titus,http://post.rescueme.org/20-02-21-00251,Boxer,"Riverside County, Downey , CA"
POGO,http://post.rescueme.org/20-02-21-00238,Chow Chow,"San Bernardino County, San Bernardino, CA"
Matilda,http://post.rescueme.org/20-02-21-00225,Pit Bull,CA
DIESEL OLIVAS,http://post.rescueme.org/20-02-21-00222,Pit Bull,"Los Angeles County, whittier, CA"
Bella,http://post.rescueme.org/20-02-21-00195,Pit Bull,"Los Angeles County, Woodland Hills, CA"
Daisy,http://post.rescueme.org/20-02-20-00546,Black Mouth Cur,"Los Angeles County, Pasadena, CA"
Duncan,http://post.rescueme.org/20-02-20-00506,Poodle,"Los Angeles County, Chatsworth, CA"
Stella,http://post.rescueme.org/20-02-20-00504,Foxhound,"Sacramento County, Sacramento, CA"
